Original_Name,SIDER_Official_Name
enalapril,enalapril
dextroamphetamine,dextroamphetamine
lamotrigine,lamotrigine
nortriptyline,nortriptyline
oxycodone,oxycodone
metformin,metformin
naproxen,naproxen
spironolactone,spironolactone
alendronate,alendronate
dexamethasone,dexamethasone
diazepam,diazepam
pilocarpine,pilocarpine
alprazolam,alprazolam
clonazepam,clonazepam
citalopram,citalopram
methotrexate,methotrexate
lorazepam,lorazepam
baclofen,baclofen
metronidazole,metronidazole
ranitidine,ranitidine
buprenorphine,buprenorphine
trazodone,trazodone
oxazepam,oxazepam
atenolol,atenolol
fluconazole,fluconazole
fexofenadine,fexofenadine
prednisone,prednisone
sumatriptan,sumatriptan
clarithromycin,clarithromycin
danazol,danazol
tramadol,tramadol
trimethobenzamide,trimethobenzamide
phendimetrazine,phendimetrazine
selegiline,selegiline
sulindac,sulindac
mirtazapine,mirtazapine
hydrochlorothiazide,hydrochlorothiazide
oxybutynin,oxybutynin
trimethoprim,trimethoprim
metoclopramide,metoclopramide
ketorolac,ketorolac
betamethasone,betamethasone
hydrocortisone,hydrocortisone
clindamycin,clindamycin
tobramycin,tobramycin
diclofenac,diclofenac
erythromycin,erythromycin
naltrexone,naltrexone
ketoconazole,ketoconazole
ampicillin,ampicillin
isoniazid,isoniazid
nitrofurantoin,nitrofurantoin
prednisolone,prednisolone
morphine,morphine
diltiazem,diltiazem
fluvoxamine,fluvoxamine
progesterone,progesterone
dapsone,dapsone
cyproheptadine,cyproheptadine
methadone,methadone
propranolol,propranolol
bisoprolol,bisoprolol
hyoscyamine,hyoscyamine
ribavirin,ribavirin
metoprolol,metoprolol
fosinopril,fosinopril
triamcinolone,triamcinolone
mercaptopurine,mercaptopurine
levetiracetam,levetiracetam
prochlorperazine,prochlorperazine
penicillin-v,penicillin v
lidocaine,lidocaine
amphetamine,amphetamine
fentanyl,fentanyl
doxepin,doxepin
dicyclomine,dicyclomine
methimazole,methimazole
desonide,desonide
